"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","17.75148mm","20.55048mm","17.75148mm","20.55048mm","17.31398mm","21.308252mm","B","300","100nF",
"C9","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","32.46948mm","20.42348mm","32.46948mm","20.42348mm","32.03198mm","19.665708mm","B","60","100nF",
"D1","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","24.99548mm","24.99548mm","24.99548mm","24.99548mm","22.54548mm","23.39548mm","B","0","WS2812B",
"D2","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder","20.76548mm","25.06548mm","20.76548mm","25.06548mm","20.76548mm","24.19048mm","B","90","D",
"D3","SK6812_4020","24.99548mm","37.99548mm","24.99548mm","37.99548mm","24.69548mm","37.24548mm","B","0","SK6812_4020",
"D4","SK6812_4020","36.24548mm","18.47548mm","36.24548mm","18.47548mm","35.745961mm","19.110288mm","B","240","SK6812_4020",
"D5","SK6812_4020","13.74548mm","18.48548mm","13.74548mm","18.48548mm","14.544999mm","18.600672mm","B","120","SK6812_4020",
"D6","SK6812_4020","13.45548mm","30.75548mm","13.45548mm","30.75548mm","13.954999mm","30.120672mm","B","60","SK6812_4020",
"D7","SK6812_4020","36.55548mm","32.21548mm","36.55548mm","32.21548mm","35.755961mm","32.100288mm","B","300","SK6812_4020",
"D8","SK6812_4020","24.97548mm","11.99548mm","24.97548mm","11.99548mm","25.27548mm","12.74548mm","B","180","SK6812_4020",
"Through Hole Items ",
"J1","PinHeader_1x05_P2.54mm_Vertical","19.89548mm","47.96548mm","19.89548mm","47.96548mm","19.89548mm","47.96548mm","T","90","Conn_01x05",
"REF**","MountingHole_3.2mm_M3_ISO14580","36.52548mm","37.50548mm","36.52548mm","37.50548mm","36.52548mm","37.50548mm","T","0","MountingHole_3.2mm_M3_ISO14580",
"REF**","MountingHole_3.2mm_M3_ISO14580","13.54548mm","24.98548mm","13.54548mm","24.98548mm","13.54548mm","24.98548mm","T","0","MountingHole_3.2mm_M3_ISO14580",
"USB1","HRO-TYPE-C-31-M-12-HandSoldering","-0.80452mm","24.99548mm","-0.80452mm","24.99548mm","7.39048mm","28.22048mm","T","270","HRO-TYPE-C-31-M-12",
